Multimedia information systems,,FALSE,"[{'tag_name': 'ASPECT', 'parsed_value': 'multimedia information system', 'count': 1, 'forms': [{'start_char': 0, 'form': 'Multimedia information systems', 'end_char': 30}], 'relevance': 0.5119542323522642}]"
The Next Step,,FALSE,"[{'tag_name': 'ASPECT', 'parsed_value': 'step', 'count': 1, 'forms': [{'start_char': 9, 'form': 'Step', 'end_char': 13}], 'relevance': 0.3313542006476158}]"
"<h3>The Next Step</h3>
 The CD audio system is a good example of a discrete-time system.
Buried inside the blocks of Fig.~<a class=""flink bkimg"" ref=""fig-cdsyst"">&#8251;</a> are many discrete-time subsystems and
signals.  While we do not promise to explain all the details of CD players or any other
complex system, we do hope to establish the foundations for the understanding of
discrete- and continuous-time signals and systems so that this knowledge can be applied
to understanding components of more complicated systems. In
Chapter~<a class=""flink bkimg"" ref=""chapter-two-sinusoids"">&#8251;</a>, we will start at a basic mathematical level and
show how the well-known sine and cosine functions from trigonometry play a fundamental
role in signal and system theory. Next, we will show how complex numbers can simplify
the algebra of trigonometric functions. Subsequent chapters will introduce the concept
of the frequency spectrum of a signal and the concept of filtering with a linear
time-invariant system.  By the end of the book, the diligent reader who has worked the
problems, experienced the demonstrations, and done the laboratory exercises will be
rewarded with a solid understanding of many of the key concepts underlying the digital
multimedia information  systems that are rapidly
becoming commonplace.",,FALSE,"[{'tag_name': 'ASPECT', 'parsed_value': 'signal', 'count': 3, 'forms': [{'start_char': 215, 'form': 'signals', 'end_char': 222}, {'start_char': 753, 'form': 'signal', 'end_char': 759}, {'start_char': 951, 'form': 'signal', 'end_char': 957}], 'relevance': 1.0}, {'tag_name': 'ASPECT', 'parsed_value': 'system', 'count': 4, 'forms': [{'start_char': 312, 'form': 'system', 'end_char': 318}, {'start_char': 428, 'form': 'systems', 'end_char': 435}, {'start_char': 523, 'form': 'systems', 'end_char': 530}, {'start_char': 1287, 'form': 'systems', 'end_char': 1294}], 'relevance': 0.9415417008387491}, {'tag_name': 'ASPECT', 'parsed_value': 'cd audio system', 'count': 1, 'forms': [{'start_char': 29, 'form': 'CD audio system', 'end_char': 44}], 'relevance': 0.8306878877813795}, {'tag_name': 'ASPECT', 'parsed_value': 'time system', 'count': 1, 'forms': [{'start_char': 77, 'form': 'time system', 'end_char': 88}], 'relevance': 0.7994195466028304}, {'tag_name': 'OPINION', 'parsed_value': 'complex system', 'count': 1, 'forms': [{'start_char': 304, 'form': 'complex system', 'end_char': 318}], 'relevance': 0.6623403790038245}, {'tag_name': 'ASPECT', 'parsed_value': 'time signal', 'count': 1, 'forms': [{'start_char': 411, 'form': 'time signals', 'end_char': 423}], 'relevance': 0.5170429026619572}, {'tag_name': 'OPINION', 'parsed_value': 'good example', 'count': 1, 'forms': [{'start_char': 50, 'form': 'good example', 'end_char': 62}], 'relevance': 0.460307996647638}, {'tag_name': 'ASPECT', 'parsed_value': 'example', 'count': 1, 'forms': [{'start_char': 55, 'form': 'example', 'end_char': 62}], 'relevance': 0.4244054195388796}, {'tag_name': 'OPINION', 'parsed_value': 'complicated system', 'count': 1, 'forms': [{'start_char': 511, 'form': 'complicated systems', 'end_char': 530}], 'relevance': 0.324088812133684}, {'tag_name': 'OPINION', 'parsed_value': 'solid understanding', 'count': 1, 'forms': [{'start_char': 1191, 'form': 'solid understanding', 'end_char': 1210}], 'relevance': 0.324088812133684}]"
Introduction,,FALSE,"[{'tag_name': 'ASPECT', 'parsed_value': 'introduction', 'count': 1, 'forms': [{'start_char': 0, 'form': 'Introduction', 'end_char': 12}], 'relevance': 0.3172967888346072}]"
"<h3><span class=""chapter text-center"">CHAPTER 1<br> Introduction</h3>

 This is a book about signals and systems. In
this age of multimedia computers, audio and video entertainment
systems, and digital communication systems, it is almost certain
that you, the reader of this text, have formed some impression of
the meaning of the terms <span class=""bold highlight"">signal</span> and <span class=""bold highlight"">system</span>, and
you probably use the terms often in daily conversation.",,FALSE,"[{'tag_name': 'ASPECT', 'parsed_value': 'signal', 'count': 1, 'forms': [{'start_char': 95, 'form': 'signals', 'end_char': 102}], 'relevance': 1.0}, {'tag_name': 'ASPECT', 'parsed_value': 'system', 'count': 2, 'forms': [{'start_char': 107, 'form': 'systems', 'end_char': 114}, {'start_char': 185, 'form': 'systems', 'end_char': 192}], 'relevance': 0.9415417008387491}, {'tag_name': 'ASPECT', 'parsed_value': 'span class=""bold', 'count': 2, 'forms': [{'start_char': 344, 'form': 'span class=""bold', 'end_char': 360}, {'start_char': 391, 'form': 'span class=""bold', 'end_char': 407}], 'relevance': 0.5077338888476739}, {'tag_name': 'ASPECT', 'parsed_value': 'age of multimedia computers', 'count': 1, 'forms': [{'start_char': 125, 'form': 'age of multimedia computers', 'end_char': 152}], 'relevance': 0.32003318520977864}, {'tag_name': 'ASPECT', 'parsed_value': 'term', 'count': 2, 'forms': [{'start_char': 337, 'form': 'terms', 'end_char': 342}, {'start_char': 460, 'form': 'terms', 'end_char': 465}], 'relevance': 0.3094886497998251}, {'tag_name': 'ASPECT', 'parsed_value': 'h3><span class=""chapter text', 'count': 1, 'forms': [{'start_char': 1, 'form': 'h3><span class=""chapter text', 'end_char': 29}], 'relevance': 0.3042518451377103}, {'tag_name': 'ASPECT', 'parsed_value': 'digital communication system', 'count': 1, 'forms': [{'start_char': 198, 'form': 'digital communication systems', 'end_char': 227}], 'relevance': 0.3042518451377103}, {'tag_name': 'ASPECT', 'parsed_value': 'br > introduction</h3', 'count': 1, 'forms': [{'start_char': 48, 'form': 'br> Introduction</h3', 'end_char': 68}], 'relevance': 0.3042518451377103}, {'tag_name': 'ASPECT', 'parsed_value': 'daily conversation', 'count': 1, 'forms': [{'start_char': 475, 'form': 'daily conversation', 'end_char': 493}], 'relevance': 0.2904431725746505}, {'tag_name': 'ASPECT', 'parsed_value': 'video entertainment', 'count': 1, 'forms': [{'start_char': 164, 'form': 'video entertainment', 'end_char': 183}], 'relevance': 0.2904431725746505}]"
Signals,,FALSE,"[{'tag_name': 'ASPECT', 'parsed_value': 'signal', 'count': 1, 'forms': [{'start_char': 0, 'form': 'Signals', 'end_char': 7}], 'relevance': 1.0}]"
"It is likely that your usage and understanding of the terms are
correct within some rather broad definitions.  For example, you
may think of a signal  as &#8220;something&#8221; that
carries information. Usually, that something is a pattern of
variations of a physical quantity that can be manipulated, stored,
or transmitted by physical processes. Examples include speech
signals, audio signals, video or image signals, biomedical
signals, radar signals, and seismic signals, to name just a few.
An important point is that signals can take many equivalent forms
or representations. For example, a speech signal is produced as an
acoustic signal, but it can be converted to an electrical signal
by a microphone, or a pattern of magnetization on a magnetic tape,
or even a string of numbers as in digital audio recording.",,FALSE,"[{'tag_name': 'ASPECT', 'parsed_value': 'signal', 'count': 4, 'forms': [{'start_char': 145, 'form': 'signal', 'end_char': 151}, {'start_char': 379, 'form': 'signals', 'end_char': 386}, {'start_char': 439, 'form': 'signals', 'end_char': 446}, {'start_char': 532, 'form': 'signals', 'end_char': 539}], 'relevance': 1.0}, {'tag_name': 'ASPECT', 'parsed_value': 'speech signal', 'count': 1, 'forms': [{'start_char': 607, 'form': 'speech signal', 'end_char': 620}], 'relevance': 0.45018187359811035}, {'tag_name': 'OPINION', 'parsed_value': 'produced speech signal', 'count': 1, 'forms': [{'start_char': 607, 'form': 'speech signal is produced', 'end_char': 632}], 'relevance': 0.43263062164216426}, {'tag_name': 'ASPECT', 'parsed_value': 'example', 'count': 3, 'forms': [{'start_char': 116, 'form': 'example', 'end_char': 123}, {'start_char': 354, 'form': 'Examples', 'end_char': 362}, {'start_char': 596, 'form': 'example', 'end_char': 603}], 'relevance': 0.4244054195388796}, {'tag_name': 'OPINION', 'parsed_value': 'important point', 'count': 1, 'forms': [{'start_char': 508, 'form': 'important point', 'end_char': 523}], 'relevance': 0.3907390917187552}, {'tag_name': 'ASPECT', 'parsed_value': 'speech', 'count': 1, 'forms': [{'start_char': 371, 'form': 'speech', 'end_char': 377}], 'relevance': 0.34945181183609386}, {'tag_name': 'ASPECT', 'parsed_value': 'video', 'count': 1, 'forms': [{'start_char': 403, 'form': 'video', 'end_char': 408}], 'relevance': 0.33958687141975524}, {'tag_name': 'ASPECT', 'parsed_value': 'pattern', 'count': 1, 'forms': [{'start_char': 236, 'form': 'pattern', 'end_char': 243}], 'relevance': 0.32875957646212123}, {'tag_name': 'ASPECT', 'parsed_value': 'acoustic signal', 'count': 1, 'forms': [{'start_char': 640, 'form': 'acoustic signal', 'end_char': 655}], 'relevance': 0.31126657071639063}, {'tag_name': 'ASPECT', 'parsed_value': 'term', 'count': 1, 'forms': [{'start_char': 54, 'form': 'terms', 'end_char': 59}], 'relevance': 0.3094886497998251}]"
Systems,,FALSE,"[{'tag_name': 'ASPECT', 'parsed_value': 'system', 'count': 1, 'forms': [{'start_char': 0, 'form': 'Systems', 'end_char': 7}], 'relevance': 0.9415417008387491}]"
"The term <span class=""bold highlight"">system</span>  may be somewhat more
ambiguous and subject to interpretation. For example, we often use
&#8220;system&#8221; to refer to a large organization that administers or
implements some process, such as the &#8220;Social Security system&#8221; or
the &#8220;airline transportation system.&#8221;  However, we will be
interested in a much narrower definition that is very closely
linked to signals. More specifically, a system, for our purposes,
is something that can manipulate, change, record, or transmit
signals. For example, an audio compact disk (CD) recording stores
or represents a music signal as sequence of numbers. A CD player
is a system for converting the numbers stored on the disk (i.e.,
the numerical representation of the signal) to an acoustic signal
that we can hear.  In general, systems <span class=""bold highlight"">operate</span> on signals
to produce new signals or new signal representations.",,FALSE,"[{'tag_name': 'ASPECT', 'parsed_value': 'signal', 'count': 4, 'forms': [{'start_char': 440, 'form': 'signals', 'end_char': 447}, {'start_char': 560, 'form': 'signals', 'end_char': 567}, {'start_char': 795, 'form': 'signal', 'end_char': 801}, {'start_char': 912, 'form': 'signals', 'end_char': 919}], 'relevance': 1.0}, {'tag_name': 'ASPECT', 'parsed_value': 'system', 'count': 3, 'forms': [{'start_char': 470, 'form': 'system', 'end_char': 476}, {'start_char': 698, 'form': 'system', 'end_char': 704}, {'start_char': 857, 'form': 'systems', 'end_char': 864}], 'relevance': 0.9415417008387491}, {'tag_name': 'ASPECT', 'parsed_value': 'span class=""bold', 'count': 2, 'forms': [{'start_char': 10, 'form': 'span class=""bold', 'end_char': 26}, {'start_char': 866, 'form': 'span class=""bold', 'end_char': 882}], 'relevance': 0.5077338888476739}, {'tag_name': 'OPINION', 'parsed_value': 'compact disk', 'count': 1, 'forms': [{'start_char': 591, 'form': 'compact disk', 'end_char': 603}], 'relevance': 0.45271066258602083}, {'tag_name': 'ASPECT', 'parsed_value': 'example', 'count': 2, 'forms': [{'start_char': 120, 'form': 'example', 'end_char': 127}, {'start_char': 573, 'form': 'example', 'end_char': 580}], 'relevance': 0.4244054195388796}, {'tag_name': 'ASPECT', 'parsed_value': 'sequence of numbers', 'count': 1, 'forms': [{'start_char': 659, 'form': 'sequence of numbers', 'end_char': 678}], 'relevance': 0.31799194549893683}, {'tag_name': 'ASPECT', 'parsed_value': 'acoustic signal', 'count': 1, 'forms': [{'start_char': 809, 'form': 'acoustic signal', 'end_char': 824}], 'relevance': 0.31126657071639063}, {'tag_name': 'ASPECT', 'parsed_value': 'term', 'count': 1, 'forms': [{'start_char': 4, 'form': 'term', 'end_char': 8}], 'relevance': 0.3094886497998251}, {'tag_name': 'ASPECT', 'parsed_value': 'cd player', 'count': 1, 'forms': [{'start_char': 682, 'form': 'CD player', 'end_char': 691}], 'relevance': 0.30417646760227}, {'tag_name': 'ASPECT', 'parsed_value': 'new signal', 'count': 1, 'forms': [{'start_char': 932, 'form': 'new signals', 'end_char': 943}], 'relevance': 0.3004498512743842}]"
"Our goal in this text is to develop a framework wherein it is
possible to make precise statements about both signals and
systems. Specifically, we want to show that mathematics is an
appropriate language for describing and understanding signals and
systems.  We also want to show that the representation of signals
and systems by mathematical equations allows us to understand how
signals and systems interact and how we can design and implement
systems that achieve a prescribed purpose.",,FALSE,"[{'tag_name': 'ASPECT', 'parsed_value': 'signal', 'count': 2, 'forms': [{'start_char': 110, 'form': 'signals', 'end_char': 117}, {'start_char': 387, 'form': 'signals', 'end_char': 394}], 'relevance': 1.0}, {'tag_name': 'ASPECT', 'parsed_value': 'system', 'count': 5, 'forms': [{'start_char': 123, 'form': 'systems', 'end_char': 130}, {'start_char': 253, 'form': 'systems', 'end_char': 260}, {'start_char': 324, 'form': 'systems', 'end_char': 331}, {'start_char': 399, 'form': 'systems', 'end_char': 406}, {'start_char': 453, 'form': 'systems', 'end_char': 460}], 'relevance': 0.9415417008387491}, {'tag_name': 'OPINION', 'parsed_value': 'precise statement', 'count': 1, 'forms': [{'start_char': 80, 'form': 'precise statements', 'end_char': 98}], 'relevance': 0.3907390917187552}, {'tag_name': 'OPINION', 'parsed_value': 'appropriate language', 'count': 1, 'forms': [{'start_char': 186, 'form': 'appropriate language', 'end_char': 206}], 'relevance': 0.3907390917187552}, {'tag_name': 'ASPECT', 'parsed_value': 'representation of signals', 'count': 1, 'forms': [{'start_char': 293, 'form': 'representation of signals', 'end_char': 318}], 'relevance': 0.3061212094532}, {'tag_name': 'ASPECT', 'parsed_value': 'mathematical equation', 'count': 1, 'forms': [{'start_char': 335, 'form': 'mathematical equations', 'end_char': 357}], 'relevance': 0.29190361344612686}, {'tag_name': 'ASPECT', 'parsed_value': 'understanding signal', 'count': 1, 'forms': [{'start_char': 226, 'form': 'understanding signals', 'end_char': 247}], 'relevance': 0.29190361344612686}, {'tag_name': 'ASPECT', 'parsed_value': 'prescribed purpose', 'count': 1, 'forms': [{'start_char': 476, 'form': 'prescribed purpose', 'end_char': 494}], 'relevance': 0.29190361344612686}, {'tag_name': 'ASPECT', 'parsed_value': 'text', 'count': 1, 'forms': [{'start_char': 17, 'form': 'text', 'end_char': 21}], 'relevance': 0.28004370039221216}, {'tag_name': 'ASPECT', 'parsed_value': 'mathematic', 'count': 1, 'forms': [{'start_char': 167, 'form': 'mathematics', 'end_char': 178}], 'relevance': 0.27195780201276615}]"
